1~52.21346,0.10456|
1~52.21095,0.11459|
1~52.21069336558143, 0.11486425995826721|
1~52.208361929796986, 0.1202239841222763|
1~52.208518074895196, 0.12079328298568726|
1~52.20774,0.12909|
1~52.20644,0.12015|
1~52.20498,0.11918|
1~52.20432662140475, 0.11881515383720398|
1~52.20411,0.11897|
1~52.203938686503584, 0.11812716722488403|
1~52.20365923977291, 0.11739492416381836|
1~52.20357,0.11742|
1~52.20266,0.11923|
1~52.20258335345298, 0.12425467371940613|
1~52.20266718968642, 0.126255601644516|
1~52.20089138938813, 0.1139281690120697|
1~52.200581099942845, 0.11319123208522797|
1~52.20037,0.11375|
1~52.200239984542826, 0.1264125108718872|
1~52.19909,0.13020|
1~52.19813,0.12515|
1~52.198673285970926, 0.12169450521469116|
1~52.196796627316566, 0.12271106243133545|
1~52.194951950000814, 0.12279689311981201|
1~52.194843026152505, 0.13440214097499847|
1~52.19511595181983, 0.10966949164867401|
1~52.18778,0.13700|
1~52.17519167495437, 0.14061212539672852|
